,City,Cloudiness,Country,Humidity,Temp,Lat,Lng,Wind Speed
456,strand,0,ZA,66,73,-34.11,18.83,3.36
457,yaan,100,NG,96,74.03,7.38,8.57,5.66
458,riyadh,71,SA,36,77,24.63,46.72,9.6
459,agadez,1,NE,24,82.4,16.97,7.99,10.42
460,muisne,100,EC,87,73.96,0.61,-80.02,13.38
461,sept-iles,90,CA,100,46.4,50.2,-66.38,3.36
462,rockhampton,40,AU,36,80.6,-23.38,150.51,11.41
463,nijar,0,ES,64,72,36.97,-2.21,3.36
464,kathmandu,75,NP,83,71.6,27.71,85.32,5.82
465,spencer,1,US,76,55.99,42.24,-71.99,6.93
466,megion,40,RU,78,35.6,61.04,76.11,13.42
467,kargasok,93,RU,74,40.14,59.06,80.87,11.41
468,kamina,74,CD,32,75.69,-8.74,25,13.96
469,neos marmaras,0,GR,100,66.99,40.1,23.78,5.46
470,awbari,0,LY,18,81.63,26.59,12.77,2.8
471,las palmas,100,CO,91,76.21,10.3,-74.55,0.45
472,oktyabrskoye,20,RU,56,44.01,56.73,85.44,15.66
473,constantine,0,DZ,82,57.2,36.36,6.61,2.1
474,clovis,0,US,53,82.4,36.83,-119.7,6.93
475,mangrol,75,IN,88,80.6,25.33,76.51,8.34
476,sovetskiy,1,RU,74,38.16,56.76,48.47,10.38
477,mount pleasant,1,US,83,80.6,33.16,-94.97,5.53
478,rudnaya pristan,0,RU,40,68.14,44.36,135.82,8.93
479,chapais,90,CA,93,55.4,49.78,-74.86,10.29
480,imeni poliny osipenko,0,RU,34,59.61,52.42,136.49,5.73
481,north branch,1,US,66,57.99,45.51,-92.98,3.36
482,salta,0,AR,62,64.4,-24.79,-65.41,2.06
483,omboue,100,GA,84,77.45,-1.57,9.26,9.26
484,sumbe,65,AO,90,72.41,-11.2,13.84,8.23
485,faya,0,SA,39,69.8,18.39,42.45,4.7
486,santa maria da boa vista,33,BR,76,70.11,-8.8,-39.83,16.11
487,beihai,40,CN,73,79,38.95,121.19,11.18
488,laviana,0,ES,82,57.2,43.23,-5.53,4.7
489,wonthaggi,71,AU,69,70,-38.6,145.59,2.46
490,touros,20,BR,94,69.8,-5.2,-35.46,4.7
491,gazli,0,UZ,13,83.53,40.13,63.45,10.4
492,danielskuil,0,ZA,11,57,-28.19,23.54,20.29
493,bilibino,8,RU,90,19.44,68.06,166.44,3.56
494,razole,100,IN,81,84.7,16.48,81.84,11.81
495,port antonio,20,JM,78,80.6,18.18,-76.45,3.36
496,athabasca,100,CA,95,43.93,54.72,-113.29,5.61
497,ballina,77,IE,98,57.99,54.11,-9.15,22.41
498,dukat,64,AL,89,69.01,40.25,19.57,1.01
499,high level,40,CA,81,42.8,58.52,-117.13,2.24
500,susanville,1,US,59,60.8,40.42,-120.65,6.93
501,nakhon sawan,15,TH,61,87.53,15.7,100.13,8.66
502,narsaq,0,GL,69,39.2,60.91,-46.05,2.24
503,escalerillas,75,MX,87,61,19.14,-100.12,2.28
504,salihorsk,98,BY,73,46.04,52.79,27.54,8.72
505,deer lake,90,CA,93,48.2,49.18,-57.43,12.75
506,taoudenni,0,ML,12,89.78,22.68,-3.98,6.96
507,ocos,40,GT,100,73.4,14.51,-92.19,11.61
508,capinzal,0,BR,97,51.93,-27.34,-51.61,1.07
509,kumluca,0,TR,77,60.87,36.37,30.29,1.48
510,yuncheng,9,CN,25,83.12,35.03,111,5.93
511,san patricio,0,PY,79,55.9,-26.98,-56.83,4.74
512,ciro marina,0,IT,55,73.24,39.37,17.13,0.83
513,pisco,75,PE,82,62.6,-13.71,-76.2,5.82
514,kollo,0,NE,70,84.2,13.34,2.32,5.82
515,antofagasta,90,CL,76,55.4,-23.65,-70.4,4.7
516,zhezkazgan,40,KZ,57,51.8,47.8,67.71,11.18
517,turayf,0,SA,37,66.2,31.68,38.65,11.41
518,college,90,US,75,41,64.86,-147.8,9.17
519,dudinka,75,RU,93,35.6,69.41,86.18,17.9
520,chifeng,0,CN,13,80.26,42.27,118.96,6.31
521,ohara,40,JP,45,86,35.12,135.83,4.7
522,alta floresta,28,BR,57,75.9,-9.87,-56.08,3.24
523,pucallpa,20,PE,88,77,-8.38,-74.54,6.93
524,vodnyy,100,RU,96,34.45,63.51,53.41,9.78
525,otavi,0,NA,52,63.68,-19.64,17.34,16.64
526,komsomolskiy,100,RU,95,33.42,67.55,63.78,4.61
527,nguru,64,NG,46,82.42,12.88,10.45,6.26
528,tyret pervaya,20,RU,55,61.21,53.67,102.31,3.53
529,tuatapere,92,NZ,89,48,-46.13,167.69,18.99
530,hunchun,3,CN,35,80.13,42.86,130.36,3.33
531,luwuk,90,ID,94,68.58,-0.95,122.79,3.18
532,byron bay,90,AU,64,77,-28.65,153.62,16.11
533,siguiri,89,GN,88,73.24,11.42,-9.17,2.15
534,iwanai,0,JP,63,63.05,42.97,140.51,13.38
535,vestmannaeyjar,100,IS,89,50.94,63.44,-20.27,4.59
536,springbok,0,ZA,18,78.03,-29.67,17.88,23.2
537,naze,100,NG,96,74.37,5.43,7.07,3.44
538,contai,100,IN,92,77.04,21.78,87.75,8.59
539,puerto escondido,75,CO,94,77,9,-76.26,8.93
540,rocha,58,UY,77,53.49,-34.48,-54.34,4.74
541,valencia,0,ES,93,71.01,39.47,-0.38,2.24
542,vysokogornyy,0,RU,49,49.05,50.1,139.13,10.56
543,kananga,98,CD,90,69.75,-5.9,22.41,2.68
544,mayo,90,CA,93,42.8,63.59,-135.9,3.36
545,porbandar,75,IN,88,80.6,21.64,69.61,11.52
546,cabo rojo,1,PR,94,80.01,18.09,-67.15,3.36
547,inta,100,RU,97,33.94,66.04,60.13,12.75
548,hailun,0,CN,44,71.92,47.46,126.97,5.41
549,havre-saint-pierre,90,CA,93,46.4,50.23,-63.6,8.05
550,vostok,0,RU,50,58.19,46.45,135.83,6.71
551,artesia,1,US,44,78.8,32.84,-104.4,10.29
552,mlonggo,20,ID,43,91.4,-6.53,110.7,10.29
553,serowe,0,BW,52,46.94,-22.4,26.7,18.01
554,saint anthony,1,US,44,57.2,43.97,-111.68,11.41
555,yarada,97,IN,68,85.03,17.65,83.27,3.91
